role,resource,id,type,dimension,category,region,data_name,year_published,year_target,provider,method_description_data,method_description_ind,sdg,data_file,excel_sheet,data_type,data_encoding,epsg,source_url,date_acquired,licence,licence_url,resolution,areas,map_field,evaluate,units,aggregation,target,fill_na,rate,point_overlay_xy,point_overlay_name,point_overlay_hover_field,raster_band,scale_factor,raster_range,raster_mult,raster_offset,raster_statistic,raster_nodata,plot,citations,notes
indicators,"Enhanced Vegetation Index (EVI, annual mean; 2019)",vegetation_index_mean,raster,Health-promoting environments,Greater tree coverage to provide shade,Bangkok,Enhanced vegetation index,2020,2019,"Landsat-8 data courtesy of the U.S. Geological Survey, processed using Google Earth Engine","Landsat 8 Collection 1 Tier 1 Annual EVI Composite data (LANDSAT/LC08/C01/T1_ANNUAL_EVI) was retrieved using Google Earth Engine for Bangkok for 2019, using the bounding box WGS84 coordinates [100.327866596872, 13.4851864441217, 100.938637619401, 13.9551828398924].  The Enhanced Vegetation Index (EVI) is generated from the Near-IR, Red and Blue bands of each scene, and ranges in value from -1.0 to 1.0. See Huete et al. (2002) for details.",The mean Enhanced Vegetation Index (EVI) for each district and subdistrict was recorded,"3, 11, 13, 15",./data/International/Google EarthEngine/LANDSAT_LC08_C01_T1_ANNUAL_EVI_20190101_20191231.tif,,raster:float64,,4326,https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C01_T1_ANNUAL_EVI,20200722,none specified,,30,"subdistrict,district",mean Enhanced Vegetation Index (EVI),,#,average,,,,,,,1,1,"-1,1",,0,mean,-999,district,,Public domain; give credit to USGS and Google Earth Engine. 
indicators,Vegetation Percent (mean; December 2018),vegetation_pct_mean,raster,Health-promoting environments,Greater tree coverage to provide shade,Bangkok,Fraction of Vegetation Cover,2019,2018,Copernicus Service Information,"A modelled fraction of vegetation cover (FCOVER, V2) 1km grid data product based on Copernicus satellite imagery targetting 20 December 2018 was downloaded in NetCDF (.nc) format.  Using the ESA SNAP software, a GeoTiff (.tif) excerpt was taken for the Bangkok region.  Band 1 of this satellite data product represents the fraction of vegetation cover.  Data values ranging from 0 to 250 are to be transformed to a 0 to 1 range to represent the fraction of vegetation cover within each grid portion.  Cell values of 255 represent no data, and were excluded.",The estimated percentage of vegetation cover within each analysis area was calculated by first scaling the raster grid cell values by 100/250 ( a scale factor of 0.4) and then taking the mean (average) of all intersecting grid cells.,"3, 11, 13, 15",./data/International/EC-JRC/Copernicus/subset_0_of_c_gls_FCOVER-RT6_201812200000_GLOBE_PROBAV_V2.tif,,raster:float64,,4326,https://land.copernicus.eu/global/products/fcover,20190913,"Free, full and open access for lawful usage, with attribution",https://sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,1000,"subdistrict,district","mean vegetation cover percent  (Copernicus, December 2018)",,%,average,,,,,,,1,0.4,"0,250",100,0,mean,255,district,,
indicators,Vegetation Percent (standard deviation; December 2018),vegetation_pct_sd,raster,Health-promoting environments,Greater tree coverage to provide shade,Bangkok,Fraction of Vegetation Cover,2019,2018,Copernicus Service Information,"A modelled fraction of vegetation cover (FCOVER, V2) 1km grid data product based on Copernicus satellite imagery targetting 20 December 2018 was downloaded in NetCDF (.nc) format.  Using the ESA SNAP software, a GeoTiff (.tif) excerpt was taken for the Bangkok region.  Band 1 of this satellite data product represents the fraction of vegetation cover.  Data values ranging from 0 to 250 are to be transformed to a 0 to 1 range to represent the fraction of vegetation cover within each grid portion.  Cell values of 255 represent no data, and were excluded.","The estimated standard deviation of percentage of vegetation cover within each analysis area was calculated by first scaling the raster grid cell values by 100/250 ( a scale factor of 0.4) and then taking the standard deviation of all intersecting grid cells.  This is a measure of the degree to wich estimates vary across a particular area, and is a useful contextual measure to accompany the average vegetation percent for the area.","3, 11, 13, 15",./data/International/EC-JRC/Copernicus/subset_0_of_c_gls_FCOVER-RT6_201812200000_GLOBE_PROBAV_V2.tif,,raster:float64,,4326,https://land.copernicus.eu/global/products/fcover,20190913,"Free, full and open access for lawful usage, with attribution",https://sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,1000,"subdistrict,district","standard deviation vegetation cover percent  (Copernicus, December 2018)",,%,average,,,,,,,1,0.4,"0,250",100,0,std,255,,,
indicators,Percentage of residents living within 400 metres of public open space  (2019),pos_entry_any,access,Health-promoting environments,Areas for passive recreation and physical activity,Bangkok,Public Open Space,2019,2019,OpenStreetMap,A dataset of Areas of Public Open Space was derived from OpenStreetMap using a series of key-value pair tag queries in conjunction with morphological and heuristic criteria.  [description to be updated],Accessibility within 400m was evaluated using the Python network analysis package Pandana for a series of sample points generated every 50 metres along the Bangkok OSM pedestrian network.   Population weighted averages for the proportion of sample points having access in each subdistrict were used to estimate the measure.,,./data/International/OSM/thailand-latest.20191007.osm.pbf,,,,,,20191007,ODbL,https://wiki.osmfoundation.org/wiki/Licence,400,"subdistrict,district","% living within 400 metres of public open space  (OSM, 2019)",,%,average,,,,,,,,,,,,,,district,,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
indicators,Percentage of residents living within 400 metres of large public open space  (1.5 hectares or larger; 2019),pos_entry_large,access,Health-promoting environments,Areas for passive recreation and physical activity,Bangkok,Public Open Space,2019,2019,OpenStreetMap,A dataset of Areas of Public Open Space was derived from OpenStreetMap using a series of key-value pair tag queries in conjunction with morphological and heuristic criteria.  [description to be updated],Accessibility within 400m was evaluated using the Python network analysis package Pandana for a series of sample points generated every 50 metres along the Bangkok OSM pedestrian network.   Population weighted averages for the proportion of sample points having access in each subdistrict were used to estimate the measure.,,./data/International/OSM/thailand-latest.20191007.osm.pbf,,,,,,20191007,ODbL,https://wiki.osmfoundation.org/wiki/Licence,400,"subdistrict,district","% living within 400 metres of large public open space  (OSM, 2019)",,%,average,,,,,,,,,,,,,,district,,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
indicators,Percentage of residents living within 800 metres of a train station (2014),train,access,Health-promoting environments,Mass transit availability; connected public transport networks; increased provision of transit-oriented developments,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),"Combined BMA railway stations (BTS, MRT, airtportlink, and other train stations; BMA, 2014) were analysed for Accessibility using an OSM pedestrian network, derived using OSMnx.",Accessibility within 800m was evaluated using the Python network analysis package Pandana for a series of sample points generated every 50 metres along the Bangkok OSM pedestrian network.   Population weighted averages for the proportion of sample points having access in each subdistrict were used to estimate the measure.,,,,vector,,32647,,20181210,none specified,,800,"subdistrict,district",% living within 800 metres,,%,average,,,,,,,,,,,,,,district,,
indicators,Percentage of residents living within 800 metres of a ferry terminal or pier (2014),ferry,access,Health-promoting environments,Healthy population,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),"Ferry terminals / quays along the Chao Praya river and Canal Sansabai (BMA, 2014) were combined and analysed for Accessibility using an OSM pedestrian network, derived using OSMnx.",Accessibility within 800m was evaluated using the Python network analysis package Pandana for a series of sample points generated every 50 metres along the Bangkok OSM pedestrian network.   Population weighted averages for the proportion of sample points having access in each subdistrict were used to estimate the measure.,,,,vector,,32647,,20181210,none specified,,800,"subdistrict,district",% living within 800 metres,,%,average,,,,,,,,,,,,,,district,,
indicators,Percentage of residents living 800 metres distance of any public transport (2019),pt_any,access,Health-promoting environments,Healthy population,Bangkok,Public Transport,2019,2019,OpenStreetMap,"All public transport stops in Bangkok coded as bus, rail (including subway and sky train), light rail, or ferry were combined and analysed for access using a pedestrian network derived from OSM data using OSMnx.",Accessibility within 800m was evaluated using the Python network analysis package Pandana for a series of sample points generated every 50 metres along the Bangkok OSM pedestrian network.   Population weighted averages for the proportion of sample points having access in each subdistrict were used to estimate the measure.,,,,,,,,20191007,ODbL,https://wiki.osmfoundation.org/wiki/Licence,800,"subdistrict,district",% living within 800 metres,,%,average,,,,,,,,,,,,,,district,,
indicators,Holders of a state welfare card in Bangkok (2017),welfare_card_holders,linkage,Enhancing quality of life,Job security,Bangkok,Welfare card holders,2017,2018,BMA,Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The count of persons issued a state welfare card in Bangkok Year 2017 was recorded for each district.,"3, 11, 13, 15",./data/Thai/_from BMA/20191204/transfer_1815197_files_51cc5a2c/1_Holders of a state welfare card in Bangkok by district_kn20191111.xlsx,cleaned,integer,,,,20191204,none specified,Ministry of Finance; Department of Social Development (BMA),area summary,district,State welfare card holders,,%,,,,overall,,,,,,,,,,,district,,Only two districts have 12 locations; perhaps <= 10 would be a more aspirational target.
indicators,Number of registered farmer househoulds expected to be impacted by drought (2016),drought_impacted_farmers,linkage,Enhancing quality of life,Job security,Bangkok,Drought impact,2015,2016,BMA,Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,Number of farmers (households) who expected to be impacted drought in 2016 was recorded for each district.,"3, 11, 13, 15",./data/Thai/_from BMA/20191204/transfer_1815197_files_51cc5a2c/2_BKK agriculture _drought_2016 _ district _kn20191124.xlsx,cleaned,integer,,,,20191204,none specified,Ministry of Finance; Department of Social Development (BMA),area summary,district,Number of households in the area expected to get impacts drought (registered farmers),,%,,,,overall,,,,,,,,,,,district,,Only two districts have 12 locations; perhaps <= 10 would be a more aspirational target.
indicators,Average age (2018),age_mean_district,linkage,Enhancing quality of life,Healthy population,Bangkok,Population by age groups,2018,2018,"Department of Provincial Administration, Ministry of Interior (BMA)","Bangkok population counts classified by years of age (December 2018) were cleaned for processing,  aligned with standard area identification codes, and used to derive average and standard deviation for age for each district and subdistrict.",The average age of residents for each district and subdistrict was estimated and recorded. ,"3, 11",./data/Thai/_from BMA/20190930/transfer_1730651_files_296a713c/Bangkok Population by age groups2018_kn08242019.xlsx,district_average_age,numeric,,,,20190930,none specified,,area summary,district,average age,,#,,,,,,,,,,,,,,,district,,
indicators,Average age (2018),age_mean_subdistrict,linkage,Enhancing quality of life,Healthy population,Bangkok,Population by age groups,2018,2018,"Department of Health, BMA","Bangkok population counts classified by years of age (December 2018) were cleaned for processing,  aligned with standard area identification codes, and used to derive average and standard deviation for age for each district and subdistrict.",The average age of residents for each district and subdistrict was estimated and recorded. ,"3, 11",./data/Thai/_from BMA/20190930/transfer_1730651_files_296a713c/Bangkok Population by age groups2018_kn08242019.xlsx,subdistrict_average_age,numeric,,,,20190930,none specified,,area summary,subdistrict,average age,,#,,,,,,,,,,,,,,,,,
indicators,Health centers (2018),health_centres,linkage,Enhancing quality of life,Healthy population,Bangkok,Vital diseases,2018,2018,"Department of Health, BMA",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,"The count of health centers within each analysis area was calculated, based on the supplied data.","3, 11",./data/Thai/_from BMA/20190617/vital diseases HC BMA 2018.xlsx,cleaned,integer,,,,20190617,none specified,,area summary,"subdistrict,district",health centers,,#,count,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,mental and behavioural disorder outpatients (2018),outpatients_mental_health,linkage,Enhancing quality of life,Healthy population,Bangkok,Vital diseases,2018,2018,"Department of Health, BMA",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,Outpatient numbers for mental and behavioural disorders were summed across each analysis area.,"3, 11",./data/Thai/_from BMA/20190617/vital diseases HC BMA 2018.xlsx,cleaned,integer,,,,20190617,none specified,,area summary,"subdistrict,district",mental and behavioural disorders (2018),,#,sum,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,district,,
indicators,hypertension outpatients (2018),outpatients_hypertension,linkage,Enhancing quality of life,Healthy population,Bangkok,Vital diseases,2018,2018,"Department of Health, BMA",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,Outpatient numbers for hypertension were summed across each analysis area.,"3, 11",./data/Thai/_from BMA/20190617/vital diseases HC BMA 2018.xlsx,cleaned,integer,,,,20190617,none specified,,area summary,"subdistrict,district",hypertension (2018),,#,sum,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,district,,
indicators,diabetes outpatients (2018),outpatients_diabetes,linkage,Enhancing quality of life,Healthy population,Bangkok,Vital diseases,2018,2018,"Department of Health, BMA",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,Outpatient numbers for diabetes were summed across each analysis area.,"3, 11",./data/Thai/_from BMA/20190617/vital diseases HC BMA 2018.xlsx,cleaned,integer,,,,20190617,none specified,,area summary,"subdistrict,district",diabetes (2018),,#,sum,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,district,,
indicators,"vital diseases (combined, 2018)",outpatients_combined_diseases,linkage,Enhancing quality of life,Quality food,Bangkok,Vital diseases,2018,2018,"Department of Health, BMA",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,"Outpatient numbers for all vital diseases (mental and behavioural disorders, hypertension, and diabetes) were summed across each analysis area.","3, 11",./data/Thai/_from BMA/20190617/vital diseases HC BMA 2018.xlsx,cleaned,integer,,,,20190617,none specified,,area summary,"subdistrict,district",vital diseases (combined; 2018),,#,sum,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,district,,
indicators,Percentage of residents living 800 metres distance of a supermarket (2019),supermarket,access,Enhancing quality of life,Quality food,Bangkok,Supermarket acccess,2019,2019,OpenStreetMap,Supermarket locations identified through key-value pair tags according to OSM guidelines or common usage patterns identified from OSM Taginfo were analysed for accessibility using a pedestrian network derived from OSM data using OSMnx.,Accessibility within 800m was evaluated using the Python network analysis package Pandana for a series of sample points generated every 50 metres along the Bangkok OSM pedestrian network.   Population weighted averages for the proportion of sample points having access in each subdistrict were used to estimate the measure.,,,,,,,,20191007,ODbL,https://wiki.osmfoundation.org/wiki/Licence,800,"subdistrict,district","Percentage of residents living 800 metres distance of a supermarket (OSM, 2019)",,%,sum,,,,,,,,,,,,,,district,,
indicators,Number of restaurants (2019),restaurants,linkage,Enhancing quality of life,Quality food,Bangkok,Food entrepreneurs,2019,2018,"Department of Environment and Sanitation, BMA","Data comprising counts of restaurants, supermarkets, minimarts, stalls and markets for each district were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ",The number of restaurants within each analysis area was recorded.,11,./data/Thai/_from BMA/20190820/transfer_1682928_files_504fdeaf/Num of food entrepreneur in Bangkok 2019 -kn15819.xlsx,cleaned,integer,,,,20190820,none specified,,area summary,district,ร้านอาหาร/Restaurant,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Number of supermarkets (2019),supermarkets,linkage,Enhancing quality of life,Quality food,Bangkok,Food entrepreneurs,2019,2018,BMA,"Data comprising counts of restaurants, supermarkets, minimarts, stalls and markets for each district were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ",The number of supermarkets within each analysis area was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20190820/transfer_1682928_files_504fdeaf/Num of food entrepreneur in Bangkok 2019 -kn15819.xlsx,cleaned,integer,,,,20190820,none specified,,area summary,district,ซูเปอร์มาร์เกต/Supermarket,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Number of minimarts (2019),minimarts,linkage,Enhancing quality of life,Quality food,Bangkok,Food entrepreneurs,2019,2018,BMA,"Data comprising counts of restaurants, supermarkets, minimarts, stalls and markets for each district were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ",The number of minimarts within each analysis area was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20190820/transfer_1682928_files_504fdeaf/Num of food entrepreneur in Bangkok 2019 -kn15819.xlsx,cleaned,integer,,,,20190820,none specified,,area summary,district,มินิมาร์ท/Mini-mart,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Number of stalls (2019),stalls,linkage,Enhancing quality of life,Quality food,Bangkok,Food entrepreneurs,2019,2018,BMA,"Data comprising counts of restaurants, supermarkets, minimarts, stalls and markets for each district were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ",The number of stalls within each analysis area was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20190820/transfer_1682928_files_504fdeaf/Num of food entrepreneur in Bangkok 2019 -kn15819.xlsx,cleaned,integer,,,,20190820,none specified,,area summary,district,แผงลอย/Stall,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Number of markets (2019),markets,linkage,Enhancing quality of life,Quality food,Bangkok,Food entrepreneurs,2019,2018,BMA,"Data comprising counts of restaurants, supermarkets, minimarts, stalls and markets for each district were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ",The number of markets within each analysis area was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20190820/transfer_1682928_files_504fdeaf/Num of food entrepreneur in Bangkok 2019 -kn15819.xlsx,cleaned,integer,,,,20190820,none specified,,area summary,district,ตลาด/Market,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Permitted sidewalk hawker/stall locations (2019),hawker_permitted_locations,linkage,Enhancing quality of life,Quality food,Bangkok,Sidewalk hawkers,2019,2019,"Department of City Law Enforcement, BMA","Data comprising counts of permitted sidewalk locations for hawkers/stalls, and the number of hawkers and stalls for each district were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ",The number of permitted sidewalk points for hawker/stall locations was recorded,"2.1, 3, 11",./data/Thai/_from BMA/20191204/transfer_1815197_files_51cc5a2c/3_BKK_sidewalk_hawkers - stalls _2019 _kn20190923.xlsx,cleaned,integer,,,,20191204,none specified,,area summary,district,Permitted sidewalk hawker/stall locations,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Number of  hawkers/stalls (2019),hawker_count,linkage,Enhancing quality of life,Quality food,Bangkok,Sidewalk hawkers,2019,2019,"Department of City Law Enforcement, BMA","Data comprising counts of permitted sidewalk locations for hawkers/stalls, and the number of hawkers and stalls for each district were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ",The number of permitted sidewalk points for hawker/stall locations was recorded,"2.1, 3, 11",./data/Thai/_from BMA/20191204/transfer_1815197_files_51cc5a2c/3_BKK_sidewalk_hawkers - stalls _2019 _kn20190923.xlsx,cleaned,integer,,,,20191204,none specified,,area summary,district,Number of  hawkers/stalls,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Food quality tests (2019),food_qual_test_count,linkage,Enhancing quality of life,Quality food,Bangkok,Food quality tests,2019,2019,Health Department BMA,"Data on food quality testing across 50 Bangkok districts between October 2018 to July 2019  were acquired from the BMA Health Department.  The data was comprised of spreadsheets detailing the number of food establishments, and for each of 9 key quality stanards, the number of tests conducted and the number of tests which did not pass: การตรวจด้านกายภาพ Physical examination; ฟอร์มาลิน formalin; สารฟอกขาว Bleach; สารกันรา Mold; ยาฆ่าแมลง Insecticide; สีสังเคราะห์ Synthetic color; สารโพลาร์ Polar substance; กรดแร่อิสระ Free mineral acid; and ไอโอเดท Iodate.","The total number of tests conducted across all 9 health and hygeine standards in each district were summed.  Not all tests were conducted in all districts, and some had low sampling; for example,  Wang Thonglang (481 establishments) had zero samples taken for two tests (synthetic color, and free mineral acid), and Khan Na Yao (281 establishments) had only 1 sample recorded for insecticide.  On the other hand, some other districts had a high ratio of tests to establishments.  This data context is important to remember when interpreting the data (for example, out of 1/1592 samples in Chatuchak did not pass insecticide quality standard testing, and so for this standard the target of 100% was not achieved; the comparison with Khan Na Yao where 1/1 tests passed does not in itself provide a fair comparison for food quality in the two districts).","2.1, 3, 11",./data/Thai/_from BMA/20191204/transfer_1815206_files_409fa2da/BKK_ Food quality testing_2018_19_kn20191114.xlsx,Cleaned_Combined,integer,,,,20191204,none specified,,area summary,district,Total number of food quality tests conducted,,#,,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,,,
indicators,Percentage of food standards (/9) with 100% test pass rate (2019),food_qual_pct_standards_100pct,linkage,Enhancing quality of life,Quality food,Bangkok,Food quality tests,2019,2019,Health Department BMA,"Data on food quality testing across 50 Bangkok districts between October 2018 to July 2019  were acquired from the BMA Health Department.  The data was comprised of spreadsheets detailing the number of food establishments, and for each of 9 key quality stanards, the number of tests conducted and the number of tests which did not pass: การตรวจด้านกายภาพ Physical examination; ฟอร์มาลิน formalin; สารฟอกขาว Bleach; สารกันรา Mold; ยาฆ่าแมลง Insecticide; สีสังเคราะห์ Synthetic color; สารโพลาร์ Polar substance; กรดแร่อิสระ Free mineral acid; and ไอโอเดท Iodate.",Percentage of food health and hygiene standards  (/9) with 100% of samples passing quality testing was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20191204/transfer_1815206_files_409fa2da/BKK_ Food quality testing_2018_19_kn20191114.xlsx,Cleaned_Combined,integer,,,,20191204,none specified,,area summary,district,Percentage of food health and hygiene standards  (/9) with 100% of samples passing quality testing,,%,,,,,,,,,,,,,,,,,
indicators,Number of primary schools (2016),schools_primary_count,linkage,Enhancing quality of life,High quality education and schools,Bangkok,BMA School locations,2019,2016,"Education Department, BMA","Data on locations of BMA primary schools (2016) was cleaned, such that it represented counts by subdistrict, and associated with district and subdistrict area linkage identifiers",The total count of BMA primary schools was calculated for each district and subdistrict.  District estimates were derived by summing the subdistrict counts.  Primary school counts were considered relative to area population.,"2.1, 3, 11",./data/Thai/_from BMA/20191204/transfer_1815206_files_409fa2da/V3_BMA schools _location_subdistrict_kn 20191203.xlsx,primary_cleaned,integer,,,,20191204,none specified,,area summary,"subdistrict,district",primary schools,,#,sum,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,"Average National General Education (O-NET) score for BMA primary schools for each of four core subjects (Thai, mathematics, science and English; 2016)",schools_primary_o_net_avg,linkage,Enhancing quality of life,High quality education and schools,Bangkok,O-Net in BMA schools,2019,2016,"Education Department, BMA","Data on the district average score of the test results of the National General Education (O-NET) for level 6 primary school students across four core subjects (Thai, mathematics, science and English) was cleaned and associated with area linkage codes.","The average across all four core subject scores for each district was taken, for evaluation against a target (for individual subjects) of > 50.  There were no districts achieving an average score of greater than 50 in each subject, so the average of the four subjects in each district was taken as an alternative continuous indicator.  Only Chatuchak (6 schools) achieved an overall average of greater than 50.  However, it should be noted that district averages do not necessarily reflect individual school performance (some districts have more than 20 schools), and within schools it is expected that there may be considerable heterogeneity.  Furthermore, estimates of the average score may be influenced by poor performing outlying students, and alternate measures such as the median may be more appropriate as a summary of central tendency.   As such, it is recommended that these results be interpreted cautiously, with consideration to reviewing the distribution of student results as clustered within schools and districts in more depth.","2.1, 3, 11",./data/Thai/_from BMA/20200511/O-NET in BMA schools Academic year 2018 __  only primalt level 6 _kn20200508.xlsx,cleaned,numeric,,,,20200511,none specified,,area summary,district,average O-NET,,#,,>=50,,,,,,,,,,,,,district,,
indicators,Number of temples (2014),temples,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Places of Worship,2019,2014,"Buddhism Division, National Buddhism Office; BMA district offices","Data on counts of places of worship (Temples; Mosques; Christian, Hindu and Sikh churches; and Shrines ) were cleaned and associated with area linkage codes.","The count of temples recorded in each district was recorded, and evaluated with regard to population for each district.","2.1, 3, 11",./data/Thai/_from BMA/20190930/transfer_1730651_files_296a713c/number of worship places 2014 by district _kn20190929.xlsx,cleaned,integer,,,,20190930,none specified,,area summary,district,Temples,,#,,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,Number of museums (2018),museums,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Libraries and Museums,2018,2018,"Culture, Sports and Tourism Department BMA",Data on counts of libraries and museums by district and subdistrict were cleaned and associated with area linkage codes.,"The count of temples recorded in each subdistrict were tallied for districts and subdistricts, and evaluated with regard to population for each district.","2.1, 3, 11",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/Library and Museum BKK 2018_kn082419.xlsx,subdistrict_museums,integer,,,,20190911,none specified,,area summary,"subdistrict,district",Number of Museums,,#,sum,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,Number of youth centers (2018),youth_center_count,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Youth centers,2018,2018,"Culture, Sports and Tourism Department BMA","Data on counts of youth centers, sports centers and sport yards and their usage counts within Bangkok districts (2018) were cleaned and associated with area linkage codes.",The number of youth centers was recorded for each district.,"2.1, 3, 11",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/Youth centers in Bangkok 2018_kn 20190909.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Youth centers,,#,,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,Visits to youth centers (2018),youth_center_usage,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Youth centers,2018,2018,"Culture, Sports and Tourism Department BMA","Data on counts of youth centers, sports centers and sport yards and their usage counts within Bangkok districts (2018) were cleaned and associated with area linkage codes.",The number of visits to youth centers within each district was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/Youth centers in Bangkok 2018_kn 20190909.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Youth center visits,,#,,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,Number of sport centers (2018),sport_center_count,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Youth centers,2018,2018,"Culture, Sports and Tourism Department BMA","Data on counts of youth centers, sports centers and sport yards and their usage counts within Bangkok districts (2018) were cleaned and associated with area linkage codes.",The number of sport centers was recorded for each district.,"2.1, 3, 11",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/Youth centers in Bangkok 2018_kn 20190909.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Sport centers,,#,,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,Visits to sport centers (2018),sport_center_usage,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Youth centers,2018,2018,"Culture, Sports and Tourism Department BMA","Data on counts of youth centers, sports centers and sport yards and their usage counts within Bangkok districts (2018) were cleaned and associated with area linkage codes.",The number of visits to sport centers within each district was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/Youth centers in Bangkok 2018_kn 20190909.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Sport center visits,,#,,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,Number of sport yards (2018),sport_yard_count,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Youth centers,2018,2018,"Culture, Sports and Tourism Department BMA","Data on counts of youth centers, sports centers and sport yards and their usage counts within Bangkok districts (2018) were cleaned and associated with area linkage codes.",The number of sport yards was recorded for each district.,"2.1, 3, 11",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/Youth centers in Bangkok 2018_kn 20190909.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Sport yards,,#,,,,"overall, population:1000",,,,,,,,,,,district,,
